id,name,seo_title,seo_description,og_image
515283516,Antidot,Antidot Basha Market 2024,Antidot Booth at Basha Market 2024 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6000x4000/5b3c17a309/dsc00981.jpg
395265133,Lafiye,Lafiye x Ntsana,"Lafiye Event, the Launching of Lua Fold Scarf collaboration with Ntsana ",https://a.storyblok.com/f/210339/6240x4160/e6854defaa/img_8745.jpg
511985541,Newlab,Newlab Bandung x Beauty 2024,Newlab Bandung x Beauty 2024 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/5268x3506/c861d322a9/dsc_2150.jpg
337871972,Ayyara x Bramanta Wijaya Sposa,Ayyara x Bramanta Wijaya Sposa,Wedding Dress and Jewelry Booth Design at Bridestory Fair 2023.,https://a.storyblok.com/f/210339/5982x4490/020ad5513c/61b673ef-ba58-4299-ad38-49909fd1a125-edited.jpg
373908489,Eversummer Skin,Eversummer Skin,Eversummer Skin Booth at Atness Well - Astha District 7 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6224x4542/1c37e2637e/c1a3bd6d-d774-4694-b385-5511e38c2448.jpg
341599158,Ecinos,Ecinos,Ecinos Booth Design at USS Wondherland 2023 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6216x4666/bd276c2ca0/fus-00350.jpg
301458405,Dr. Soap,Dr. Soap,Dr. Soap Booth at Jakarta x Beauty 2022 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/4271x2847/35881bf457/img_9649.jpg
357736172,Lador,Lador Basha Market 2023,Lador's Booth Design at Basha Market 2023 Surabaya - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6000x4000/1e3e8b47b2/dsc04269.jpg
342162960,Ohan ,Ohan,Ohan by Eyelovin - Booth Design for an Indonesian Local Contact Lens Brand,https://a.storyblok.com/f/210339/7826x5220/bce38e7e40/twotenses-ohan-final-2.jpg
337872017,Lador,Lador Mommy and Me 2023,"Lador's Booth Design at the Mommy and Me Event, Jakarta Convention Center.",https://a.storyblok.com/f/210339/6199x4653/bdf3888c97/fus-03802.jpg
357746279,Duma,Duma Basha Market 2023,Duma Booth Design at Basha Market 2023 Surabaya - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6000x4000/4bcaa59cc4/dsc04982.jpg
341545301,Botanique Brew,Botanique Brew,Botanique Brew Booth Design - Highlighting Real Menu Display as the Main Feature,https://a.storyblok.com/f/210339/8000x4500/593fa3e284/homepage-main-photo-07.jpg
318752945,Dr. Soap ,Dr. Soap - Eid Mubarak 2023,Dr. Soap - Eid Mubarak 2023 Visual Merchandising - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6220x4669/c21799bc25/fus-00491.jpg
337872032,Amazara,Amazara,Amazara Booth Design at Market Museum Lippo Mall Kemang - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6191x4647/2438fb601e/fus-00969.jpg
357749642,Claryn,Claryn Basha Market 2023,Claryn Booth Design at Basha Market 2023 Surabaya - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6000x4000/d3ada69154/dsc04300.jpg
341551456,Syca,Syca,Syca Booth Design - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/1365x777/2efb034ffa/syca-1.jpg
357741713,Maven,Maven Basha Market 2023,Maven Booth Design at Basha Market 2023 Surabaya - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/5999x2471/94b7a44afb/dsc04873-edited.jpg
337872025,Lador,Lador - Social Chic 2023,Lador Booth Design at Social Chic 2023 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6156x4621/9b2d8bf70b/fus-03788.jpg
342194742,Maven,Maven,Maven Booth Design at Basha Market Surabaya and Market Museum Jakarta,https://a.storyblok.com/f/210339/6965x4646/e8f91b5d0a/maven-final-twotenses-5.jpg
320216837,Holika Holika ,Holika Holika,Holika Holika booth at Beauty Fest Asia 2023 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6000x4000/2af37b1c34/edit-6.jpg
358696448,Aussen,Aussen,Aussen Photo Campaign - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/7893x5265/34d3a26e12/aussen-finale-11.jpg
341551462,Syca,Syca Medan X Beauty 2023,Syca Booth at Medan x Beauty 2023 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6000x3376/a69488853f/syca-dsc06863-fa.jpg
318812165,Kern Paper,Kern Paper,Kern Paper booth at Basha Market 2022 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/7760x5176/ee358f4ba5/two-tenses-kern-1.jpg
357750502,Sleepy Sheep,Sleepy Sheep,Sleepy Sheep Booth Design at Basha Market 2023 Surabaya - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6000x4000/52299c7da1/dsc05094.jpg
454892542,Bababoo Home & Ondoot,Bababoo & Ondoot,Bababoo & Ondoot booth design at Absolute Market Semarang - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/7868x5248/6ece3306c7/santwotenses3-copy.jpg
454908105,Claryn,Claryn,Claryn booth design at Absolute Market Semarang - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/5046x3366/95c318f1fc/santwotenses6_.jpg
361598432,Eyelovin,Eyelovin,"Eyelovin Booth Design at USS Wondherland 2023, Pondok Indah Mall 3 Jakarta",https://a.storyblok.com/f/210339/6224x4672/9c2893bd1d/fus-00432.jpg
389428036,Astoria Prima,Astoria Prima,Astoria Prima booth design at Cosmobeaute 2023 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6224x4672/0df5958830/dre04219.jpg
511988664,Ol Factory Lab,Ol Factory Lab Perfumery Bandung x Beauty 2024,Ol Factory Lab Perfumery Bandung x Beauty 2024 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/5408x3598/a008774327/dsc_8137.jpg
